epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.007009664458909676,0.001,0.007009664458909676,0.004362448581120595,0.004362448581120595
1,0.0037471919477277864,0.001,0.0037471919477277864,0.00353494414210725,0.00353494414210725
2,0.003075182125197638,0.001,0.003075182125197638,0.003827102070572932,0.003827102070572932
3,0.002747089290528144,0.001,0.002747089290528144,0.003352975882082975,0.003352975882082975
4,0.002543252420927409,0.001,0.002543252420927409,0.0032365802233265775,0.0032365802233265775
5,0.002382110966261622,0.001,0.002382110966261622,0.0026282795061845156,0.0026282795061845156
6,0.0022704803417048064,0.001,0.0022704803417048064,0.003627467169901546,0.003627467169901546
7,0.00216344472139858,0.001,0.00216344472139858,0.0037019114913482243,0.0037019114913482243
8,0.0020828717752808808,0.001,0.0020828717752808808,0.0024477723339053035,0.0024477723339053035
9,0.0019857646917029455,0.001,0.0019857646917029455,0.0027105823372408342,0.0027105823372408342
10,0.0019095992820505592,0.001,0.0019095992820505592,0.0030756731391535933,0.0030756731391535933
11,0.0018665358447668094,0.001,0.0018665358447668094,0.0027358342412555094,0.0027358342412555094
12,0.001812496048190474,0.001,0.001812496048190474,0.002824136413329718,0.002824136413329718
13,0.0017855928453507325,0.001,0.0017855928453507325,0.0027403420998657843,0.0027403420998657843
14,0.0007090492048689515,0.000100000005,0.0007090492048689515,0.002147694167738058,0.002147694167738058
15,0.0006629668557429385,0.000100000005,0.0006629668557429385,0.0021634356427278852,0.0021634356427278852
16,0.0006441090422725302,0.000100000005,0.0006441090422725302,0.002139107343949834,0.002139107343949834
17,0.000599834020332841,1.0000001e-05,0.000599834020332841,0.0021223277720261594,0.0021223277720261594
18,0.0005961641924435136,1.0000001e-05,0.0005961641924435136,0.0021215404416466146,0.0021215404416466146
19,0.0005937624608842399,1.0000001e-05,0.0005937624608842399,0.0021176022630134206,0.0021176022630134206
