epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.002690278525500728,0.001,0.002690278525500728,0.002195453707597592,0.002195453707597592
1,0.002514181146350589,0.001,0.002514181146350589,0.0021279622787026826,0.0021279622787026826
2,0.002393644114803948,0.001,0.002393644114803948,0.002446546480819887,0.002446546480819887
3,0.0022738103695083695,0.001,0.0022738103695083695,0.0028579299239961265,0.0028579299239961265
4,0.002201175772913397,0.001,0.002201175772913397,0.0022982655833063484,0.0022982655833063484
