epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.0073789073058183495,0.001,0.0073789073058183495,0.005888287253348398,0.005888287253348398
1,0.003919371194166514,0.001,0.003919371194166514,0.0035334175076893195,0.0035334175076893195
2,0.0032484570727405954,0.001,0.0032484570727405954,0.003349576856320103,0.003349576856320103
3,0.002913228789363469,0.001,0.002913228789363469,0.0032434243016375773,0.0032434243016375773
4,0.002713880903655552,0.001,0.002713880903655552,0.0029448778579505733,0.0029448778579505733
