epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.011620631754791819,0.011620631754791819,0.005096298908928827,0.005096298908928827
1,0.005480271539915816,0.005480271539915816,0.004853317066013408,0.004853317066013408
2,0.0046029309414999855,0.0046029309414999855,0.003262073865198359,0.003262073865198359
3,0.004150241517526886,0.004150241517526886,0.0045827212006005705,0.0045827212006005705
4,0.0038325186975433586,0.0038325186975433586,0.004318107830956071,0.004318107830956071
5,0.003575034400803597,0.003575034400803597,0.0033126490374989046,0.0033126490374989046
6,0.0033884310443430274,0.0033884310443430274,0.0035603828117454135,0.0035603828117454135
7,0.003222818550236485,0.003222818550236485,0.003108533685583444,0.003108533685583444
8,0.0031100732242463243,0.0031100732242463243,0.0031357768276820378,0.0031357768276820378
9,0.0030090565358493254,0.0030090565358493254,0.0037355217908439384,0.0037355217908439384
