epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.010882338725626977,0.010882338725626977,0.005118004739360541,0.005118004739360541
1,0.005258484358282116,0.005258484358282116,0.004642100531835946,0.004642100531835946
2,0.00442939224188078,0.00442939224188078,0.004828306380659342,0.004828306380659342
3,0.003916651441999656,0.003916651441999656,0.004548975846723837,0.004548975846723837
4,0.003636248252898759,0.003636248252898759,0.004371719194107315,0.004371719194107315
5,0.003413830656935881,0.003413830656935881,0.0035808289549028385,0.0035808289549028385
6,0.003246321289290815,0.003246321289290815,0.0032449633734566827,0.0032449633734566827
7,0.0030974337185560082,0.0030974337185560082,0.0032459723761900754,0.0032459723761900754
8,0.0030024574886455347,0.0030024574886455347,0.0028301576694131506,0.0028301576694131506
9,0.002888241129335543,0.002888241129335543,0.00358063105278376,0.00358063105278376
10,0.0027890350215067196,0.0027890350215067196,0.0032074075145963705,0.0032074075145963705
