epoch,loss,lr,mean_absolute_error
0,0.006586225760811356,0.001,0.006586225760811356
1,0.003472944662274351,0.001,0.003472944662274351
2,0.0027941459406684954,0.001,0.0027941459406684954
3,0.002477949533271489,0.001,0.002477949533271489
4,0.0022797294186646428,0.001,0.0022797294186646428
5,0.002143624271354981,0.001,0.002143624271354981
6,0.002036134351085496,0.001,0.002036134351085496
7,0.001949839661727667,0.001,0.001949839661727667
8,0.0018820684302816477,0.001,0.0018820684302816477
9,0.0018279320179238631,0.001,0.0018279320179238631
10,0.0017716470749145348,0.001,0.0017716470749145348
11,0.0017391993190423263,0.001,0.0017391993190423263
12,0.001700531670072545,0.001,0.001700531670072545
13,0.0006799831460052416,0.000100000005,0.0006799831460052416
14,0.0006320868707668006,0.000100000005,0.0006320868707668006
15,0.0006104274033898696,0.000100000005,0.0006104274033898696
16,0.0005676791207022377,1.0000001e-05,0.0005676791207022377
17,0.0005639192060064981,1.0000001e-05,0.0005639192060064981
18,0.0005616418758378052,1.0000001e-05,0.0005616418758378052
19,0.0005581255046947675,1.0000001e-06,0.0005581255046947675
