epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.006875095886989057,0.001,0.006875094742668091,0.013364334026871084,0.013364335395345072
1,0.006603324773135949,0.001,0.006603325069826445,0.01009286227034164,0.010092861582936884
2,0.006062819792221109,0.001,0.006062819384469998,0.006218451965397515,0.006218448265449328
3,0.0055202663474711484,0.001,0.005520267134414925,0.005456466419419565,0.005456467678605699
4,0.00524881802058225,0.001,0.00524881761997075,0.004862913944232626,0.00486291399650073
